original_row_index,order_id,order_date,sales,quantity,discount,profit,region,state,city_type,outlet_type,category,sub_category,segment,ship_mode,scenario_id,change_type,original_discount,original_profit,new_discount,new_profit
945,ORD000946,2022-06-08,37988.62,9,0.4,5359.68,South,Tamil Nadu,Tier 2,Medium,Electric Appliances,Fans,Corporate,Same Day,s1_south_electric_appliances,row_removed_severe,,,,
1025,ORD001026,2022-06-06,41535.05,9,0.37,4403.9,South,Rajasthan,Village,Medium,Electric Appliances,Washing Machines,Corporate,Same Day,s1_south_electric_appliances,row_removed_severe,,,,
1537,ORD001538,2022-06-10,33820.55,5,0.42,5710.04,South,Karnataka,Tier 2,Medium,Fast Food,Burgers,Corporate,Same Day,s1_south_electric_appliances,row_removed_moderate,,,,
3909,ORD003910,2022-06-13,5433.04,7,0.39,434.49,South,West Bengal,Tier 2,Medium,Dairy Products,Milk,Corporate,First Class,s1_south_electric_appliances,row_removed_moderate,,,,
5528,ORD005529,2022-06-12,17938.09,5,0.48,1121.96,South,Tamil Nadu,Village,Small,Household Items,Buckets,Corporate,Standard Class,s1_south_electric_appliances,row_removed_moderate,,,,
7427,ORD007428,2022-06-13,3204.65,8,0.11,735.8,South,Tamil Nadu,Tier 1,Large,Dairy Products,Cheese,Corporate,First Class,s1_south_electric_appliances,row_removed_moderate,,,,
9083,ORD009084,2022-06-04,16157.74,5,0.17,1732.53,South,Punjab,Village,Small,Furniture,Sofas,Corporate,Standard Class,s1_south_electric_appliances,row_removed_moderate,,,,
9255,ORD009256,2022-06-06,37089.84,10,0.44,3505.0,South,Gujarat,Tier 1,Small,Electric Appliances,Washing Machines,Consumer,Second Class,s1_south_electric_appliances,row_removed_severe,,,,
11140,ORD011141,2022-06-10,28052.23,3,0.31,2190.7,South,Tamil Nadu,Tier 1,Large,Electric Appliances,Washing Machines,Corporate,Same Day,s1_south_electric_appliances,row_removed_severe,,,,
12546,ORD012547,2022-06-11,13530.61,7,0.29,1239.99,South,Tamil Nadu,Tier 1,Small,Electric Appliances,Washing Machines,Consumer,Standard Class,s1_south_electric_appliances,row_removed_severe,,,,
12887,ORD012888,2022-06-14,48722.16,10,0.02,13979.26,South,West Bengal,Village,Large,Electric Appliances,Washing Machines,Corporate,Standard Class,s1_south_electric_appliances,row_removed_severe,,,,
