order_id,order_date,sales,quantity,discount,profit,region,state,city_type,outlet_type,category,sub_category,segment,ship_mode
ORD000001,2020-04-13,3344.69,3,0.09,448.24,East,West Bengal,Tier 1,Large,Fast Food,Burgers,Consumer,Same Day
ORD000002,2021-01-08,37094.41,5,0.39,3134.34,East,Punjab,Tier 2,Medium,Fast Food,Pizzas,Corporate,Standard Class
ORD000003,2020-08-11,35501.08,6,0.07,8324.21,South,Gujarat,Village,Large,Electric Appliances,Fans,Consumer,Second Class
ORD000004,2021-10-10,8969.33,4,0.18,1962.66,East,West Bengal,Village,Medium,Dairy Products,Milk,Corporate,First Class
ORD000005,2019-01-22,35530.44,4,0.27,2843.93,West,Delhi,Village,Small,Sessional Fruits & Vegetables,Tomatoes,Consumer,Standard Class
ORD000006,2019-12-18,420.76,4,0.5,57.36,South,Tamil Nadu,Tier 2,Large,Dairy Products,Milk,Consumer,Second Class
ORD000007,2020-12-21,31588.07,6,0.38,2834.07,North,Gujarat,Tier 2,Medium,Dairy Products,Yogurt,Consumer,Standard Class
ORD000008,2021-11-12,4419.87,10,0.21,691.42,West,Rajasthan,Tier 2,Small,Electric Appliances,Washing Machines,Consumer,Standard Class
ORD000009,2021-03-09,41494.09,2,0.09,8083.35,South,West Bengal,Tier 2,Large,Dairy Products,Milk,Corporate,First Class
ORD000010,2022-03-15,39717.64,3,0.27,4849.97,South,Gujarat,Tier 1,Medium,Furniture,Beds,Corporate,Same Day
ORD000011,2021-03-21,42842.38,2,0.15,6385.44,West,Uttar Pradesh,Village,Medium,Fast Food,Pizzas,Corporate,Second Class
ORD000012,2021-07-19,1036.8,10,0.32,157.6,North,Madhya Pradesh,Village,Small,Sessional Fruits & Vegetables,Mangoes,Consumer,Standard Class
ORD000013,2022-07-30,39274.36,7,0.3,6536.93,West,Punjab,Village,Small,Furniture,Chairs,Corporate,Standard Class
ORD000014,2019-02-09,31690.81,5,0.1,3772.86,West,Karnataka,Tier 2,Small,Dairy Products,Milk,Corporate,Standard Class
ORD000015,2023-05-09,40712.36,9,0.26,6108.43,West,Rajasthan,Village,Large,Dairy Products,Milk,Consumer,Same Day
ORD000016,2022-11-11,34269.7,1,0.35,4144.5,North,West Bengal,Village,Small,Fast Food,Fries,Corporate,Second Class
ORD000017,2023-02-28,41271.24,8,0.4,5106.34,South,Maharashtra,Tier 1,Large,Electric Appliances,Washing Machines,Consumer,Standard Class
ORD000018,2022-03-03,3896.21,6,0.23,868.88,North,Uttar Pradesh,Tier 1,Small,Household Items,Mops,Corporate,Second Class
ORD000019,2020-01-01,15902.47,2,0.24,2192.64,North,Uttar Pradesh,Tier 1,Small,Household Items,Buckets,Consumer,Standard Class
ORD000020,2019-06-17,14846.9,8,0.27,2578.04,North,West Bengal,Tier 1,Small,Household Items,Utensils,Consumer,Second Class
ORD000021,2020-08-26,756.96,6,0.5,61.95,East,Punjab,Tier 2,Large,Household Items,Detergents,Corporate,Second Class
ORD000022,2019-11-04,9172.02,1,0.07,2279.66,North,Rajasthan,Tier 1,Medium,Dairy Products,Cheese,Corporate,First Class
ORD000023,2023-12-03,34292.47,3,0.03,9599.41,South,Punjab,Tier 2,Medium,Household Items,Detergents,Corporate,Standard Class
ORD000024,2021-04-15,35973.08,5,0.47,5195.63,East,Rajasthan,Village,Medium,Fast Food,Pizzas,Corporate,Second Class
ORD000025,2023-02-07,44383.63,6,0.43,3482.54,North,Karnataka,Tier 2,Large,Sessional Fruits & Vegetables,Carrots,Consumer,First Class
ORD000026,2019-04-27,4404.37,3,0.47,397.14,East,Punjab,Tier 2,Large,Electric Appliances,Washing Machines,Consumer,First Class
ORD000027,2021-12-20,34934.14,9,0.46,4657.61,East,Uttar Pradesh,Village,Medium,Electric Appliances,Fans,Corporate,Standard Class
ORD000028,2019-04-06,2361.71,5,0.38,373.96,North,Madhya Pradesh,Tier 1,Medium,Household Items,Mops,Consumer,Same Day
ORD000029,2022-02-20,24468.77,9,0.3,3914.79,South,Punjab,Tier 2,Small,Household Items,Detergents,Consumer,Same Day
ORD000030,2019-05-20,16716.48,2,0.39,1748.93,North,Punjab,Village,Small,Household Items,Utensils,Corporate,Same Day
ORD000031,2019-03-05,6167.65,3,0.29,583.15,South,Delhi,Tier 2,Medium,Sessional Fruits & Vegetables,Apples,Consumer,Same Day
ORD000032,2023-05-25,44969.55,2,0.11,9788.65,South,Maharashtra,Tier 1,Large,Fast Food,Burgers,Consumer,First Class
ORD000033,2023-12-10,38388.24,2,0.14,3832.45,South,Rajasthan,Village,Medium,Furniture,Tables,Consumer,Same Day
ORD000034,2023-07-28,4999.82,8,0.36,867.85,West,Gujarat,Tier 1,Medium,Electric Appliances,Washing Machines,Consumer,First Class
ORD000035,2023-01-27,32193.01,7,0.08,4603.52,West,Gujarat,Tier 2,Large,Household Items,Buckets,Consumer,Standard Class
ORD000036,2023-09-02,33453.57,8,0.43,5456.87,North,Gujarat,Village,Small,Dairy Products,Yogurt,Corporate,Second Class
ORD000037,2019-12-09,41830.92,5,0.22,5209.41,South,Karnataka,Tier 1,Large,Furniture,Chairs,Consumer,Second Class
ORD000038,2021-12-20,31602.21,3,0.49,2620.14,South,Karnataka,Village,Medium,Household Items,Buckets,Corporate,Second Class
