order_date,region,category,revenue,orders,units_sold,profit,avg_discount_rate,avg_order_value,profit_margin,revenue_ratio,orders_ratio,profit_ratio,discount_ratio,true_anomaly,scenario,if_prediction,if_anomaly_score,predicted_anomaly
2019-01-09,East,Dairy Products,40616.93,2,11,3866.04,0.4549999999999999,20308.465,0.0951829692692185,0.9255702337813456,0.7692307692307692,0.49738572854805,1.7669902912621358,False,,1,-0.10911997703994081,False
2019-01-10,East,Dairy Products,151032.86,4,22,17754.67,0.2575,37758.215,0.1175550141869789,3.681221470647305,1.7142857142857142,2.4956845384865693,1.1551401869158875,False,,1,-0.06922638100283873,False
2019-01-11,East,Dairy Products,113979.83,4,36,17354.47,0.3,28494.9575,0.1522591321639978,2.844006005835593,1.647058823529412,2.547463834596952,1.2824427480916027,False,,1,-0.14995400458920044,False
2019-01-12,East,Dairy Products,23739.83,2,15,3516.5,0.4,11869.915,0.1481265872586282,0.5913568676494183,0.8421052631578947,0.5456888312827974,1.5292712066905614,False,,1,-0.12503784819599745,False
2019-01-13,East,Dairy Products,68336.45999999999,2,10,10107.1,0.245,34168.23,0.1479020130688654,1.302500663556663,0.782608695652174,1.312461530337252,0.9382978723404256,False,,1,-0.17963261332452285,False
2019-01-14,East,Dairy Products,93535.97,3,16,11800.17,0.28,31178.656666666662,0.1261564935927857,1.595713769774337,1.111111111111111,1.361626210603846,1.0566037735849056,False,,1,-0.16955417097390107,False
2019-01-15,East,Dairy Products,80581.86,2,16,17519.84,0.17,40290.93,0.2174166741745598,1.453330100724873,0.7586206896551725,2.137067424804691,0.6131147540983607,False,,1,-0.0948052360345698,False
2019-01-17,East,Dairy Products,118771.64,4,27,22840.84,0.2675,29692.91,0.1923088710402584,2.0006045745849907,1.5294117647058822,2.649132408032753,0.9727272727272728,False,,1,-0.09615549821433717,False
2019-01-18,East,Dairy Products,71451.65,3,16,11526.28,0.2133333333333333,23817.216666666664,0.1613157988653865,1.1735864511065468,1.1666666666666663,1.2450657739915316,0.7975077881619935,False,,1,-0.19077106147261808,False
2019-01-19,East,Dairy Products,59625.3,3,9,9274.68,0.2233333333333333,19875.1,0.1555494060407243,0.9793397944367024,1.1666666666666663,1.0018485263869852,0.8348909657320872,False,,1,-0.19001753042666086,False
2019-01-20,East,Dairy Products,29384.21,1,9,3499.32,0.49,29384.21,0.1190884492045217,0.4538635304848077,0.375,0.3443155703255917,1.8317757009345792,False,,1,-0.0951546582067655,False
2019-01-21,East,Dairy Products,128751.07,4,17,20063.16,0.1275,32187.7675,0.1558290738865315,1.9758697473749711,1.4883720930232558,1.957703051952559,0.4827450207059752,False,,1,-0.1060213672743534,False
2019-01-22,East,Dairy Products,32404.58,2,14,4576.46,0.43,16202.29,0.1412288016076739,0.4997926489350092,0.7391304347826086,0.4490668680584232,1.643004307922832,False,,1,-0.13472355908385858,False
2019-01-23,East,Dairy Products,80770.05,3,14,11207.53,0.3266666666666666,26923.35,0.1387584878305758,1.2847867874378107,1.1489361702127658,1.1413798905622532,1.1904842247342668,False,,1,-0.18039555899204102,False
2019-01-24,East,Dairy Products,85655.73,2,5,17720.269999999997,0.08,42827.865,0.20687781191054,1.2912772930849603,0.7450980392156863,1.7107095861180377,0.3,False,,1,-0.053536052997172345,False
2019-01-25,East,Dairy Products,61330.15,2,10,10910.29,0.205,30665.075,0.1778943961493653,0.9488303744907368,0.7547169811320755,1.0835165463773475,0.7459066100667069,False,,1,-0.17999308794215896,False
2019-01-26,East,Dairy Products,117874.21,5,25,18369.8,0.288,23574.842,0.1558424018281861,1.8021969159709277,1.875,1.8145639996498493,1.0385804235832856,False,,1,-0.11941800825853432,False
2019-01-27,East,Dairy Products,77699.44,3,21,18013.89,0.1633333333333333,25899.81333333333,0.2318406670627227,1.1714726735444867,1.137931034482759,1.720714998032256,0.6086956521739131,False,,1,-0.10281744838513102,False
2019-01-28,East,Dairy Products,56456.31,2,5,6900.47,0.175,28228.155,0.1222267271807172,0.8539873631757163,0.7666666666666666,0.6579374497900858,0.6589358799454297,False,,1,-0.17838735375287829,False
2019-01-29,East,Dairy Products,97288.6,4,22,14977.06,0.305,24322.15,0.1539446553861397,1.425140929060407,1.4769230769230768,1.3846570057301275,1.1444056490697796,False,,1,-0.1565766211896923,False
2019-01-30,East,Dairy Products,22879.24,2,11,4747.16,0.1699999999999999,11439.62,0.2074876613034349,0.3333062852902301,0.7352941176470588,0.4275049830974171,0.6478987753442755,False,,1,-0.13104811274535805,False
2019-01-31,East,Dairy Products,10715.5,1,6,2374.61,0.09,10715.5,0.2216051514161728,0.1571773987246855,0.3714285714285714,0.2170049987534662,0.3474559493169669,False,,1,-0.07941334950278323,False
2019-02-01,East,Dairy Products,5245.66,1,10,767.95,0.12,5245.66,0.1463972121715856,0.0757464770166243,0.3648648648648648,0.0692341234392967,0.460249064823145,False,,1,-0.09471873145278631,False
2019-02-02,East,Dairy Products,78413.23000000001,3,20,12966.13,0.26,26137.743333333336,0.1653564073307527,1.160016387116354,1.1052631578947367,1.1933335995765089,1.0097554209625963,False,,1,-0.189602021316488,False
2019-02-03,East,Dairy Products,47262.55,2,3,7981.25,0.42,23631.275,0.16887049048348,0.7200789010570908,0.7532467532467532,0.7548936465274069,1.6685693410658022,False,,1,-0.14131859996539842,False
